Depth	1000	1003	1013	1024	1314	1326	1327	1403	1410	1421	1603	1609	1610	2037	2049	2301	2331	2355	4001
39	256625	174998	180461	352327	291870	270130	188321	179284	198351	127541	171079	261372	170677	168589	214429	163678	231601	323089	171529
40	241130	162970	167622	330327	273384	252102	174997	166538	183100	117853	161290	245051	161733	158214	200508	152309	214688	300688	160399
41	226908	153894	155436	309492	255669	238103	163571	154523	171497	109112	149339	229052	150456	149819	186840	142107	200759	280984	149731
42	212042	144406	145176	290103	241557	223772	153425	144658	161104	102454	139243	214094	142174	139301	174481	131047	188012	266042	138861
43	198668	134302	135956	273340	227465	209857	144217	136329	149942	98023	130880	202652	132191	129924	162264	123065	175209	246690	131057
44	186349	126331	128698	258719	212242	196930	134390	129254	139635	91123	123339	188153	124072	121333	152021	114963	166142	234886	123648
45	174658	117820	118942	243970	201235	185908	126812	122054	132252	85780	116378	178637	118289	115848	141099	108608	157378	220979	115264
46	165167	110958	113818	231143	188193	176272	120580	115412	122858	80135	109381	168503	110091	108862	135095	102472	148497	209581	108767
47	155374	103780	106672	217160	179663	167210	112977	108180	116388	75490	102459	159236	103090	102621	128010	95966	139705	199147	101247
48	146499	96515	100454	205936	167473	156595	106677	101688	109758	71008	95986	150042	97122	96598	118997	91399	130514	187980	96003
49	138366	93007	92913	195123	160618	146963	100505	97012	104365	67248	89987	140926	92919	90498	112547	86825	123115	179339	91342
50	128714	86817	89080	186523	153375	139326	95421	91085	98383	62675	85162	135520	86892	86556	106841	81693	116092	169238	86184
51	122321	82673	85307	177685	145859	133343	89869	85202	93569	59831	80878	126555	80899	82058	99682	76780	111119	159673	81670
52	116507	78927	80473	168225	137752	124960	85517	81356	87964	56952	77260	119530	77064	76964	95159	74161	106506	150798	75771
53	110585	74112	76145	158119	130353	118105	81969	76639	82981	54999	72280	114320	73335	72868	90745	69042	99512	144760	72388
54	106330	69638	71994	149497	124031	112077	77489	72274	79484	51719	67823	108035	68925	69818	85670	65293	94498	137060	68022
55	100840	66445	68443	143124	118536	107708	74551	68950	74143	48597	64486	103670	64557	65014	79797	62482	90165	130820	64770
56	95793	63647	64645	136002	111693	102208	70584	65728	70954	46217	61154	96248	60966	62000	75457	58687	85230	123966	61926
57	91344	61649	60949	131137	106421	96884	67695	62010	66664	44832	57652	91911	58572	59054	73482	56242	80344	119491	59416
58	86632	57142	58502	124671	101680	92502	64089	59057	64487	41919	56098	89241	55622	56126	69323	54351	77108	115012	56134
59	82836	54508	55187	119133	96856	88353	60837	56503	61627	39505	53894	83965	54522	53554	64680	51663	72380	107690	53651
60	78270	51731	52296	113836	91979	83943	58466	54530	58881	37504	50725	81316	50799	51318	62648	49524	68813	103360	50629
61	74761	49025	50501	107556	88620	80229	55936	51664	55831	35482	49342	78708	48940	48680	59859	47209	66148	97952	48562
62	71667	47099	48053	103323	84669	77580	52659	49177	53689	34020	46086	75275	46860	46548	57002	45295	62579	91805	46199
63	68722	45478	45985	99640	80655	73320	51116	46521	51311	31678	45058	71467	44428	44563	54517	43377	59460	88663	44614
64	66878	42115	44408	96630	75855	70599	48517	44205	48538	30972	42874	67894	42471	43160	53056	41460	57431	84689	42262
65	63091	40866	42190	91413	72631	67230	46199	42500	46525	29741	40189	65293	40497	40625	50946	38861	54934	82182	40369
66	60043	40295	40185	87227	69389	64268	44246	40772	43817	28241	38546	62163	39224	38458	48382	37098	51859	77871	38503
67	57620	38605	38296	83004	66166	62004	42542	38821	41894	27055	36740	59247	37559	37728	46453	34782	51046	74467	37327
68	55568	37332	37728	79586	64509	59948	41754	37533	40281	25649	35372	57211	35441	35539	44119	33699	48972	71192	35779
69	53751	35897	35641	77141	61687	57855	39715	36262	39188	25371	34119	53690	34007	34304	42138	33365	47059	68981	34069
70	51027	34222	33943	73353	59195	55102	37771	34557	37465	24103	32981	52587	32321	32981	40098	31593	45382	66669	32179
71	49269	32380	32324	70611	56512	53091	36035	32971	35701	22472	31646	50118	31040	31513	38200	30618	42572	64898	31119
72	46743	31244	31631	68132	54842	51180	34109	31462	34689	21509	29852	48022	29721	30237	35987	29334	40769	61679	29934
73	45167	30748	30025	65146	52686	49414	32758	30013	33571	20926	28125	47054	27877	29344	35474	28161	39699	59643	29069
74	44104	29116	28422	63117	50251	47307	31105	28901	31459	19872	27011	44937	26517	27854	34086	27005	37793	57341	27654
75	42002	27893	27730	61231	48524	45968	29724	27717	30273	18910	25734	42967	25487	26907	32599	25694	36728	54617	26126
76	40213	26644	26671	58074	47338	43744	29393	27173	28599	18085	24468	42221	25042	25757	31135	24301	35246	52231	25809
77	38673	25193	24714	55762	45072	42091	28595	25598	27683	17458	23909	39840	24023	24723	29687	23490	34317	50485	25031
78	36892	24516	24095	54162	42995	40012	27624	24474	26834	16598	22940	38550	23335	23541	28298	22742	33649	48750	24281
79	35544	23501	23161	52735	41800	38694	26151	24073	26185	16010	22226	37155	22761	22668	27452	22408	31828	47179	22963
80	34567	22878	22765	50686	39908	37034	25575	22856	25359	15363	21149	36007	21996	22057	26449	21032	30663	45895	21989
81	33110	21835	22146	49158	38778	35501	23956	22623	24068	14567	20249	33953	21284	20920	25589	20762	29949	44828	21633
82	32316	21396	21298	47155	37527	34065	24115	21920	23265	14405	19675	32329	20413	21063	24734	19837	28657	43162	20212
83	31402	19927	20370	45717	36742	33169	23020	20984	22171	13577	18878	31429	19626	19870	24099	18958	27832	41616	20045
84	30791	19198	20101	44092	36267	31542	22494	19883	21358	13159	18226	30813	18962	19382	23318	18365	26515	40619	19214
85	29109	18557	19530	42643	34668	30775	21702	19125	20720	12307	17465	29785	17934	18743	23188	17321	25659	39252	18559
86	28173	17842	18530	41125	33201	29831	21237	18241	20162	11828	16766	28959	17421	17757	22019	16602	24777	37645	18298
87	27037	17770	17770	40146	32014	29422	20654	17614	19352	11271	16357	28100	16527	17349	21646	15671	23629	36564	17528
88	26623	17293	16956	38407	30634	28916	20364	17489	18545	10825	15861	27106	15848	16796	21008	15293	23644	34851	16567
89	25802	16792	16578	36530	29906	27539	19447	16963	18219	10788	15104	25883	15537	15984	19789	14831	22247	34017	15712
90	24957	16069	15655	35370	29164	26831	18389	16562	17508	10410	14299	25495	14799	15489	19678	14632	22023	32329	15131
91	23642	15434	15422	34211	27593	25790	18145	15663	16891	9879	13974	25040	14423	15180	18838	14078	20772	31614	14658
92	22788	15161	14529	33427	27157	24845	17760	14994	16201	9654	13479	23771	14064	14543	17985	13572	20116	30705	14470
93	21913	14583	14353	32738	26308	24203	16835	14948	15849	8911	13164	22831	13679	13719	17678	13158	19574	29517	13675
94	21588	14231	13643	31101	25356	23280	16504	14652	15586	8739	12919	22110	13088	13647	17025	12508	19461	28371	13263
95	20931	13249	13272	30526	24576	22048	15655	14500	15157	8456	12246	21665	12662	13174	16233	11945	18713	27414	13033
96	20540	12993	12749	30126	24176	22062	15204	13773	14680	8377	12308	20984	12316	13002	15695	11324	18256	26572	12727
97	19377	12493	12882	28667	23327	21421	15130	13187	14409	7955	12007	20494	11881	12180	15219	11197	17694	25929	12444
98	19136	12078	12425	27754	22674	20995	14807	12601	13894	7934	11558	20083	11518	11621	14424	10987	17031	25572	12169
99	18415	11877	11975	27194	22048	20482	14113	12293	13390	7241	11046	19796	10931	11292	14410	10271	16790	24761	11766
100	17615	11551	11613	26125	21203	19961	13466	11812	12872	7310	10090	19025	10506	11068	13879	10116	16361	23969	11130
